ID	RA	DEC	zspec	zq	id	IC	dIC	zb	zbmin	zbmax
120	101.7383833333	70.0479050000	0.650	4	9084	21.046	0.056	0.689	0.647	0.725
121	101.7849041667	70.2142180556	0.619	4	36084	20.173	0.043	0.536	0.494	0.580
122	101.6874125000	70.0625458333	0.572	4	11764	20.045	0.047	0.562	0.537	0.587
123	101.7350583333	70.1568833333	0.571	2	26485	20.190	0.037	0.552	0.499	0.597
125	101.6025416667	70.0299605556	0.406	4	6741	20.118	0.042	0.447	0.068	0.487
126	101.6200541667	69.9748230556	0.0	-1	1164	20.947	0.089	0.729	0.669	0.803
127	101.5748833333	69.9861069444	0.729	3	1861	21.259	0.058	0.684	0.615	0.726
128	101.6129625000	69.9938508333	0.0	-1	2499	19.919	0.069	0.695	0.649	0.760
133	101.4371958333	70.0844727778	0.472	3	15158	20.910	0.050	0.635	0.583	0.680
134	101.5017708333	70.0596694444		0	10982	21.111	0.054	0.604	0.557	0.650
135	101.2431541667	69.9963225000		0	2803	20.927	0.062	0.665	0.580	0.701
136	101.6268333333	70.1502608333	0.000	-1	25141	18.520	0.051	0.664	0.151	0.693
137	101.4333208333	70.0721741667	0.475	4	14034	18.892	0.024	0.503	0.477	0.528
140	101.4004958333	70.0380858333	0.728	4	8029	20.430	0.044	0.739	0.702	0.764
141	101.2211833333	70.1052400000		0	18566	21.020	0.048	0.542	0.434	0.592
142	101.3307750000	70.0496138889		0	9538	21.223	0.062	0.721	0.677	0.749
143	101.1859041667	70.0839613889	0.727	2	14805	21.297	0.083	0.717	0.606	0.775
144	101.4543250000	70.1024400000	0.52	1	17509	21.074	0.058	0.520	0.440	0.562
145	101.6116458333	70.1915055556		0	33160	20.053	0.029	0.609	0.582	0.663
146	101.3973291667	70.0903930556		0	16551	20.001	0.030	0.670	0.630	0.699
147	101.7955875000	70.2321397222	0.586	4	39163	20.154	0.042	0.556	0.533	0.579
148	101.1634416667	70.0175705556	0.566	4	5093	20.863	0.057	0.622	0.518	0.668
149	101.5257583333	70.1364594444	0.0	-1	23702	17.691	0.037	0.526	0.324	0.555
152	101.2221250000	70.1197738889	0.56	2	20309	20.941	0.052	0.516	0.409	0.549
154	101.4368375000	70.1660461111	0.555	2	27700	20.987	0.052	0.555	0.507	0.603
155	101.5501083333	70.2155302778	0.735	4	36263	20.722	0.045	0.704	0.670	0.733
156	101.0409375000	70.1015930556	0.621	4	17677	20.591	0.052	0.649	0.579	0.688
157	101.0201833333	70.1324769444	0.476	4	22479	20.901	0.054	0.461	0.413	0.554
158	101.1506958333	70.1338425000	0.649	4	22671	20.861	0.062	0.521	0.478	0.563
160	101.1995333333	70.1530838889	0.552	2	25851	20.509	0.040	0.516	0.439	0.552
162	101.1793125000	70.1713333333	0.475	4	29036	20.778	0.045	0.483	0.439	0.554
